,dollar_amount,votes
0,405892.36000000004,10714.0
1,611486.9299999998,14155.0
2,258157.87999999998,5746.0
3,443102.5,7106.0
4,96436.38,6518.0
5,106003.49,4991.0
6,137380.15999999997,5623.0
7,367291.27999999997,4680.0
8,100932.5,4536.0
9,375573.18000000034,6013.0
10,957244.7000000002,10879.0
11,354363.39999999997,3712.0
12,178474.88,4879.0
13,114325.58,4713.0
14,969410.1700000005,7878.0
15,721063.74,4106.0
16,833934.4300000003,3367.0
17,606358.0700000001,3760.0
18,175769.13000000003,3282.0
19,132983.66999999998,2845.0
20,2800.0,2083.0
21,749167.4799999999,6309.0
22,1007036.1199999998,5173.0
23,132772.97,5942.0
24,146867.32999999996,6956.0
25,39401.07,3394.0
26,78270.53,3490.0
27,131180.74,10522.0
28,93148.5,7914.0
29,896076.6100000003,4658.0
30,461784.36,6446.0
31,328426.75,5267.0
32,106560.93,3776.0
33,155345.79,3165.0
34,70077.82,6323.0
35,109700.60999999999,8162.0
36,210694.35,6700.0
37,82043.17000000001,1802.0
38,431005.4200000002,2175.0
39,183646.14,5006.0
40,77886.96,4700.0
41,87606.84,5738.0
42,51716.200000000004,6516.0
43,86667.56000000001,5047.0
44,45255.36,6307.0
45,109399.18999999999,5863.0
46,182817.38,7883.0
47,136511.71000000002,8256.0
48,82328.8,12307.0
49,90788.70000000001,10414.0
50,99261.91,4971.0
51,40652.15,6261.0
52,107849.20000000001,7803.0
53,93932.86,6018.0
54,114893.62,5875.0
55,525.86,1402.0
56,168493.91,3568.0
57,126337.92000000001,2955.0
58,162805.45,4905.0
59,73497.88,4378.0
60,215222.64,1721.0
61,100.0,2173.0
62,233967.32999999996,9971.0
63,251725.49999999997,8432.0
64,465601.43000000005,5619.0
65,460406.66000000003,4574.0
66,481310.56,101401.0
67,87373.09000000001,3183.0
68,412740.77999999997,2974.0
69,117072.95000000001,2948.0
70,66971.45,3507.0
71,251060.96000000002,5418.0
72,178624.38000000003,6200.0
73,85973.26000000001,2282.0
74,145388.95999999996,2474.0
75,268844.62,5621.0
76,74055.33,4309.0
77,81895.71999999999,4582.0
78,2354.0,3837.0
79,15118.25,2638.0
80,288107.3,2688.0
81,88133.34000000001,2930.0
82,119663.18000000001,7011.0
83,99838.0,8815.0
84,404084.9800000001,3532.0
85,198056.04,3470.0
86,214417.90999999997,5412.0
87,332350.80000000005,4034.0
88,60852.63,5682.0
89,49287.219999999994,4532.0
90,97942.54000000001,8644.0
91,1611370.44,199179.0
92,750228.8200000002,4335.0
93,135142.36000000002,9706.0
94,183885.64,6624.0
95,41370.55,6653.0
96,47748.96,9084.0
97,88220.26000000001,6817.0
98,76236.51000000001,4475.0
99,87955.79000000001,4668.0
100,112521.61,4208.0
101,4688.4800000000005,2665.0
102,4688.4800000000005,18220.0
103,100.0,1040.0
104,68695.16999999998,6404.0
105,103358.20000000003,8015.0
106,114409.56999999999,11201.0
107,546.42,569.0
108,956.26,544.0
109,9352.52,3772.0
110,93510.9,5780.0
111,227470.0,5777.0
112,671754.5800000001,6089.0
113,58780.0,6686.0
114,63782.89,5265.0
115,58133.16,5196.0
116,55970.36999999999,5892.0
117,68471.11,5675.0
118,117549.48000000001,4576.0
119,83568.41,6853.0
120,88327.48,6592.0
121,94044.1,6089.0
122,362791.38999999984,2643.0
123,568451.3500000001,2591.0
124,169339.01000000004,6729.0
125,185851.27,6509.0
126,189949.75999999998,9876.0
127,471476.04,6572.0
128,611472.72,4769.0
129,82951.0,6457.0
130,94042.45999999999,5004.0
131,94633.7,4300.0
132,934770.49,10850.0
133,288944.96,10395.0
134,3321.7200000000003,3032.0
135,3401.68,2565.0
136,195915.37,4928.0
137,98019.05,4660.0
138,89294.27000000002,5705.0
139,71777.03,6597.0
140,54156.49,6214.0
141,948553.2000000003,8240.0
142,93526.09,4574.0
143,557455.0600000002,8256.0
144,140057.51,4509.0
145,972940.81,2765.0
146,830258.3700000006,2567.0
147,82118.6,4244.0
148,54981.24,4637.0
149,89771.3,4601.0
150,483237.80000000005,2902.0
151,486150.49000000005,2729.0
152,105407.41999999998,9824.0
153,49.5,399.0
154,147079.71,6072.0
155,367872.7,6222.0
156,123415.11,5419.0
157,561389.3200000001,6019.0
158,647482.19,4789.0
159,227236.89,5408.0
160,287699.8000000001,4811.0
161,248590.31,5021.0
162,130802.66,4347.0
163,503551.52999999997,4082.0
164,622890.3999999999,3716.0
165,161892.76,4827.0
166,130789.68,4502.0
167,278241.68,3574.0
168,118577.34,4880.0
169,107060.03,4112.0
170,163756.30000000002,4217.0
171,72285.40000000001,5155.0
172,73710.05,6552.0
173,57794.0,7673.0
174,67712.20999999999,6838.0
